even,odd,1,2,3,4,5,5o,6,s,so
100,101,3.507092033263859e-2,1.9622713695911245e-2,7.231813373084383e-3,6.014049590983176e-3,6.097898995128233e-3,6.820642528725655e-3,5.857544216154732e-3,5.503282701372488e-3,5.753373183137858e-3
200,201,0.2872779744945635,0.15302841705067818,5.041126347445856e-2,4.3649197950575896e-2,4.5314190025582075e-2,4.6758942430108065e-2,3.940355417802419e-2,4.250402850049026e-2,4.508219738448815e-2
300,301,1.0715379451070237,0.5502923529684636,0.1777131351208391,0.16149868790248892,0.16547833205992438,0.1608829680298877,0.12757805401301922,0.24965445030852668,0.2472279339143679
400,401,2.782103418135028,1.4558030172463141,0.5051817057460908,0.4628770379446359,0.5235274690546713,0.4428516818052999,0.3000270034771808,0.5589599099716159,0.5432444858346733
500,501,5.920043116190236,2.860930625635104,1.1154483796350647,1.088849655665981,0.5774287201111049,1.291429521056141,0.5612425627782877,1.1066943920001358,1.0567523796930052
600,601,9.59675235210735,5.485494778134921,2.1786475549684297,2.0981515224437883,1.0092341111946006,2.9989719826381447,0.9792663226940285,2.43756339908373,2.7989824598609587
700,701,16.46727203002409,8.430285734412728,3.4546056914689025,3.9081693848048276,1.5857869931110409,4.650849462222015,1.5884142369163037,3.835520572250745,4.239383864583918
800,801,23.77352968032946,13.401504715135552,5.308942054023936,5.333068152972046,2.3307213662230386,8.099293510083525,2.3427334561116733,5.2896193539163265,6.186542985610964
900,901,38.54162360196858,17.35019871324664,8.29453160202369,8.436319771832713,3.1484704455008856,11.497248783749432,3.2721839302771776,7.840883971221831,8.293193146138922
1000,1001,51.518386859079264,27.131172638496015,10.857920627552213,8.432819203305042,4.235486969249476,13.800703929388142,4.4053952437782815,9.506382932693644,11.091503156527702
